Date,Description,Debit,Credit,Balance
2026-04-01,Opening Balance,,,4200000.00
2026-04-02,NEFT IN - ACME CORP - INV/2026/031,,142000.00,4342000.00
2026-04-02,UPI - ZOMATO - LUNCH MEETING,485.00,,4341515.00
2026-04-03,SALARY - APRIL PAYROLL,840000.00,,3501515.00
2026-04-05,GST PAYMENT - Q4 FY25,235000.00,,3266515.00
2026-04-08,NEFT IN - GLOBEX LTD - INV/2026/028,,86000.00,3352515.00
2026-04-09,RENT - OFFICE - APR 2026,160000.00,,3192515.00
2026-04-10,VENDOR PAYMENT - ABC TRADERS,124000.00,,3068515.00
2026-04-12,UPI - UBER - CLIENT VISIT,420.00,,3068095.00
2026-04-15,NEFT IN - INITECH LLP - INV/2026/035,,54000.00,3122095.00
2026-04-17,VENDOR PAYMENT - XYZ OFFICE SUPPLIES,32000.00,,3090095.00
2026-04-18,UPI - CAFE COFFEE DAY,260.00,,3089835.00
2026-04-20,CLOUD SERVICES - AWS,18500.00,,3071335.00
2026-04-22,NEFT IN - HOOLI PVT LTD - INV/2026/037,,41000.00,3112335.00
2026-04-25,MARKETING - GOOGLE ADS,12000.00,,3100335.00
2026-04-28,VENDOR PAYMENT - ABC TRADERS,86000.00,,3014335.00
2026-04-30,NEFT IN - ACME CORP - INV/2026/041,,210000.00,3224335.00
2026-05-02,UPI - SWIGGY - TEAM LUNCH,1240.00,,3223095.00
2026-05-03,SALARY - MAY PAYROLL,860000.00,,2363095.00
2026-05-05,RENT - OFFICE - MAY 2026,160000.00,,2203095.00
